inETIP,subcategory,company,website,country,code_sig,network_sig,documentation,potential maven page,potential maven repo,potential github
,Mobile Marketing,Digital Turbine,digitalturbine.com,,,,,https://bintray.com/digitalturbine,https://dl.bintray.com/digitalturbine/maven/,
,CRM,Dimelo,dimelo.com,,com.dimelo.dimelosdk,,,,,https://github.com/dimelo
,,DirectTAP,direct-tap.com/ [redirects to metaps.com],,com.directtap,,,,,https://github.com/DirectTAP
ETIP,,Display,display.io,,io.display,,,,,
,,Distimo,distimo.com,USA,,,,,,
,,DMI Partners,dmipartners.com,USA,,,,,,https://github.com/dmipartners
,Sales Automation Enablement & Intelligence,DocuSign,docusign.com,,com.docusign.,,,https://bintray.com/docusign,,https://github.com/docusign
,,Domob Ruida,domob.cn,China,cn.domob,,,,,https://github.com/domob
ETIP,Display & Programmatic Advertising,DoubleClick by Google,doubleclickbygoogle.com,USA,com.google.android.gms.ads.doubleclick,mng-ads\.com|doubleclick\.net|doubleclick\.com|2mdn\.net|dmtry\.com,,,,
ETIP,,DOV-E,dov-e.com,,com.dv.,.dov-e.com,,,,
,Mobile Marketing,Drawbridge,drawbridge.com,USA,,,,,,https://github.com/drawbridge
,,DSNR Media Group,dsnrmg.com,Israel,,,,,,
ETIP,,Duapps,ad.duapps.com,,com.duapps,,,,,
,Audience/Marketing Data & Data Enhancement,Dun & Bradstreet,dnb.com,,com.dnb.vipps.,,,,,https://github.com/dnb
,Mobile & Web Analytics,Dynamicaction,dynamicaction.com,,,,,,,https://github.com/dynamicaction
ETIP,Optimization Personalization & Testing,DynamicYield,dynamicyield.com,,com.dynamicyield,cdn.dynamicyield.com|adm.dynamicyield.com|api.dynamicyield.com|px.dynamicyield.com | st.dynamicyield.com,,,,
ETIP,Mobile Apps,Dynatrace,dynatrace.com,,com.dynatrace.android.app,,,,,
,,EA,,,,,,,,
,Mobile & Web Analytics,eAnalytics,eanalytics.de,,,,,,,https://github.com/eanalytics
,Native/Content Advertising,Earnify,earnify.com,,,,,,,https://github.com/earnify
,,Ebay Advertising,ebayadvertising.com,USA,,,,,,
,,Eclipse-io,eclipse.io,USA,,,,https://bintray.com/eclipse,,https://github.com/eclipse
,Mobile & Web Analytics,Econda,econda.com,,,,,,,https://github.com/econda
,,Efun Company,,,,,,,,
ETIP,,Ehawk,en.ehawk.com,,com.hawk,,,,,
ETIP,Marketing Automation & Campaign/Lead Management,Emarsys Predict,help.emarsys.com/hc/en-us/articles/115004663045-predict-overview,,com.emarsys.,recommender.scarabresearch.com,,,,
,,Ember,,,,,,,,https://github.com/Ember
,,EngageClick,engageclick.com,USA,,,,,,https://github.com/engageclick
,Mobile & Web Analytics,Engagement Labs,engagementlabs.com,,,,,,,
ETIP,,Enhance,enhance.co,,co.enhance,,,,,
ETIP,Customer Data Platform,Ensighten,ensighten.com,,com.ensighten,,,,,
